,balanced_acc_mean_test,f1_mean_test,recall_mean_test,specificity_mean_test,balanced_acc_std_test,f1_std_test,recall_std_test,specificity_std_test
"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_split': 30, 'n_estimators': 20}",0.6547885831184933,0.8458399831366158,0.35274747474747475,0.9568296914895118,0.018512611643730293,0.010364022566680224,0.03413420520389396,0.005830952732433353
"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_split': 30, 'n_estimators': 80}",0.6513241690558764,0.8482339344838827,0.33680808080808083,0.965840257303672,0.022618596774420147,0.01227296363851533,0.04254463916645547,0.00665225107126914
"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_split': 30, 'n_estimators': 100}",0.6545110809886163,0.8499096709557827,0.3428080808080808,0.9662140811691516,0.019731597675145623,0.010956522833648492,0.03677430287723926,0.006064310475084678
"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_split': 30, 'n_estimators': 200}",0.6558668188180383,0.8509865618565315,0.3447676767676768,0.9669659608683998,0.016294019718776927,0.010727898257797137,0.026863172518361445,0.008190993177146968
"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_split': 50, 'n_estimators': 5}",0.6697190441850263,0.8210198056616352,0.4509292929292929,0.8885087954407596,0.022166215014493503,0.009734543250502284,0.04452011006252786,0.008673110158965722
"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_split': 50, 'n_estimators': 10}",0.6587328968278905,0.8275912654203884,0.404929292929293,0.9125365007264878,0.021125083351389212,0.00923050311646422,0.04161171889593775,0.0032989862962504086
"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_split': 50, 'n_estimators': 20}",0.6720668844776675,0.8423799763591278,0.410949494949495,0.93318427400584,0.02209047738460868,0.00908458664906198,0.0473027013665801,0.008597652072947841
"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_split': 50, 'n_estimators': 80}",0.6798847828822155,0.8511828686372102,0.4149494949494949,0.9448200708149359,0.023131498723792276,0.012036890174842685,0.04305751498844191,0.007558846257222063
"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_split': 50, 'n_estimators': 100}",0.6821646168693666,0.8513782672849295,0.42101010101010095,0.943319132728632,0.02800405674466912,0.01406340083717515,0.05220821178529859,0.007346913229916888
"{'criterion': 'gini', 'max_features': 'auto', 'min_samples_split': 50, 'n_estimators': 200}",0.6732795140959453,0.8486876504080891,0.400989898989899,0.9455691292019918,0.031056686867306206,0.016418597715412615,0.057114809097314076,0.010554560680334748
